iter	RMSE
0	1.098143919
1	1.094056828
2	1.090308971
3	1.086872883
4	1.083566311
5	1.080613468
6	1.07778745
7	1.075042035
8	1.072445832
9	1.070049183
10	1.06793332
11	1.065869523
12	1.06324131
13	1.060804735
14	1.057846413
15	1.054903693
16	1.052186993
17	1.049698088
18	1.047070028
19	1.044784247
20	1.042695913
21	1.040766598
22	1.038965879
23	1.037133072
24	1.035431453
25	1.033872033
26	1.032328533
27	1.031005871
28	1.02956284
29	1.028388046
30	1.026934378
31	1.025615864
32	1.024494099
33	1.023514595
34	1.022541527
35	1.021544423
36	1.020596761
37	1.019847885
38	1.019041631
39	1.018311413
40	1.017311429
41	1.016090019
42	1.015337667
43	1.01457907
44	1.013860009
45	1.013132053
46	1.012398473
47	1.011621276
48	1.010719623
49	1.009794449
50	1.009225507
51	1.008628469
52	1.007898571
53	1.007268907
54	1.006565256
55	1.005924123
56	1.004931051
57	1.004107579
58	1.003425379
59	1.002920855
60	1.002142623
61	1.001673519
62	1.001240352
63	1.000744916
64	1.00013979
65	0.9995078819
66	0.9991475485
67	0.9986837929
68	0.9980603545
69	0.997392789
70	0.9968513905
71	0.9964823294
72	0.9957169071
73	0.9950972591
74	0.994646988
75	0.9941005908
76	0.9937130689
77	0.9933363261
78	0.9928402011
79	0.9924550519
80	0.9920639158
81	0.9915150604
82	0.991026025
83	0.9907247205
84	0.990228922
85	0.9898475007
86	0.9894248028
87	0.9889011637
88	0.9885354886
89	0.9882146934
90	0.9875468434
91	0.9868053229
92	0.9866368387
93	0.9862727712
94	0.9854182578
95	0.9848431911
96	0.9844815813
97	0.98372193
98	0.9832878187
99	0.9828983158
100	0.9826988496
101	0.9824742599
102	0.982067507
103	0.9815614874
104	0.9813157746
105	0.9809471698
106	0.9807334335
107	0.9803182161
108	0.9799815113
109	0.9797071607
110	0.9793407929
111	0.9790049123
112	0.9788413909
113	0.9783181346
114	0.9781762217
115	0.9778458418
116	0.9773247892
117	0.9771190684
118	0.9767020708
119	0.9764499205
120	0.9760994151
121	0.9755255286
122	0.9753691034
123	0.9748132784
124	0.97444388
125	0.9742449829
126	0.9740199496
127	0.9737425225
128	0.9734094764
129	0.9731015321
130	0.9725992887
131	0.9724038266
132	0.9721930433
133	0.9718340364
134	0.9714466156
135	0.9709537867
136	0.9707172581
137	0.9702819417
138	0.9699828678
139	0.96970422
140	0.9694185595
141	0.9691462128
142	0.9687502764
143	0.9684047989
144	0.9681181685
145	0.9678558564
146	0.9676449988
147	0.9672176467
148	0.9669601208
149	0.9664881406
150	0.9663076908
151	0.9660331491
152	0.9656798477
153	0.9652326658
154	0.9650425743
155	0.9648734129
156	0.9643692194
157	0.9641005992
158	0.9638324033
159	0.9635566942
160	0.9632167289
161	0.9628801489
162	0.9627457825
163	0.9624597754
164	0.9621026393
165	0.9618447216
166	0.9616327396
167	0.9613999006
168	0.9611307158
169	0.9609150166
170	0.9604412191
171	0.9600297461
172	0.9597345071
173	0.9593948752
174	0.9591655387
175	0.9589423577
176	0.9586588792
177	0.9584604844
178	0.9582626227
179	0.9580675707
180	0.9576996493
181	0.9575916152
182	0.9574416031
183	0.9572885997
184	0.9570608491
185	0.9567080849
186	0.9563276337
187	0.9561015081
188	0.9559073696
189	0.9558005857
190	0.9555320383
191	0.9553167976
192	0.9550842746
193	0.9547251712
194	0.9545379338
195	0.9543606007
196	0.9541796647
197	0.9539046424
198	0.9535998222
199	0.953479874
200	0.9531935753
201	0.9530440228
202	0.9527693832
203	0.952596514
204	0.9524568693
205	0.9521095599
206	0.9517757795
207	0.951485685
208	0.9513164737
209	0.951120854
210	0.950851335
211	0.9507243849
212	0.9505427038
