iter	Passed	Remaining
0	147	102969
1	280	97808
2	408	94970
3	534	92954
4	676	94094
5	802	92832
6	922	91328
7	1048	90736
8	1209	92885
9	1330	91829
10	1457	91274
11	1582	90717
12	1721	90993
13	1847	90534
14	1988	90798
15	2115	90430
16	2240	90034
17	2376	90031
18	2510	89971
19	2634	89586
20	2762	89334
21	2897	89282
22	3016	88796
23	3139	88442
24	3271	88341
25	3396	88053
26	3522	87807
27	3643	87454
28	3767	87170
29	3894	86980
30	4036	87101
31	4183	87334
32	4314	87213
33	4445	87077
34	4573	86895
35	4712	86913
36	4838	86703
37	4980	86771
38	5126	86886
39	5259	86774
40	5419	87101
41	5589	87566
42	5745	87782
43	5879	87661
44	6016	87567
45	6147	87407
46	6285	87322
47	6432	87379
48	6579	87414
49	6727	87462
50	6878	87527
51	7024	87532
52	7178	87626
53	7314	87501
54	7465	87544
55	7646	87935
56	7803	88029
57	7950	88006
58	8097	87979
59	8252	88028
60	8405	88052
61	8562	88109
62	8723	88202
63	8877	88215
64	9027	88189
65	9158	87977
66	9305	87915
67	9449	87825
68	9589	87699
69	9731	87580
70	9903	87737
71	10034	87520
72	10162	87285
73	10312	87236
74	10452	87101
75	10606	87083
76	10766	87113
77	10919	87072
78	11056	86916
79	11216	86927
80	11369	86883
81	11507	86724
82	11645	86569
83	11794	86490
84	11948	86449
85	12107	86441
86	12264	86413
87	12404	86267
88	12569	86294
89	12711	86157
90	12846	85971
91	13006	85952
92	13150	85829
93	13311	85816
94	13460	85725
95	13615	85661
96	13768	85594
97	13923	85532
98	14086	85512
99	14256	85541
100	14382	85298
101	14546	85280
102	14711	85267
103	14857	85147
104	14987	84927
105	15129	84783
106	15285	84713
107	15426	84560
108	15579	84474
109	15736	84406
110	15900	84375
111	16060	84319
112	16219	84254
113	16397	84290
114	16551	84197
115	16698	84068
116	16846	83946
117	17003	83864
118	17157	83770
119	17294	83589
120	17446	83483
121	17579	83287
122	17737	83207
123	17874	83029
124	18024	82913
125	18157	82715
126	18275	82457
127	18433	82373
128	18590	82287
129	18740	82171
130	18885	82030
131	19008	81792
132	19151	81644
133	19316	81592
134	19465	81468
135	19610	81324
136	19735	81103
137	19896	81029
138	20043	80894
139	20196	80784
140	20350	80680
141	20512	80605
142	20651	80438
143	20825	80407
144	20978	80296
145	21114	80120
146	21254	79956
147	21407	79843
148	21577	79794
149	21749	79749
150	21899	79620
151	22048	79489
152	22214	79420
153	22352	79248
154	22473	79019
155	22634	78929
156	22789	78821
157	22955	78747
158	23098	78594
159	23240	78436
160	23389	78305
161	23522	78116
162	23679	78010
163	23845	77935
164	23987	77779
165	24143	77666
166	24290	77526
167	24434	77376
168	24577	77221
169	24724	77082
170	24876	76956
171	24999	76742
172	25167	76666
173	25312	76518
174	25471	76415
175	25600	76219
176	25737	76048
177	25892	75932
178	26031	75766
179	26188	75655
180	26332	75505
181	26473	75346
182	26631	75236
183	26784	75112
184	26943	75006
185	27112	74923
186	27286	74856
187	27444	74741
188	27590	74597
189	27736	74450
190	27877	74291
191	28031	74166
192	28184	74039
193	28327	73885
194	28476	73746
195	28625	73608
196	28768	73454
197	28918	73319
198	29111	73291
199	29259	73148
200	29432	73067
201	29548	72847
202	29688	72685
203	29815	72493
204	29979	72389
205	30123	72237
206	30265	72082
207	30415	71943
208	30566	71808
209	30729	71702
210	30884	71577
211	31040	71450
212	31221	71383
213	31375	71254
214	31524	71114
215	31671	70968
216	31842	70875
217	31984	70718
218	32134	70578
219	32285	70441
220	32421	70270
221	32585	70161
222	32731	70013
223	32903	69920
224	33053	69779
225	33191	69613
226	33339	69468
227	33470	69290
228	33604	69116
229	33774	69016
230	33947	68923
231	34111	68811
232	34247	68641
233	34409	68525
234	34556	68378
235	34708	68240
236	34843	68069
237	34996	67935
238	35142	67784
239	35300	67659
240	35444	67506
241	35585	67347
242	35723	67183
243	35863	67023
244	36020	66895
245	36167	66747
246	36326	66623
247	36470	66470
248	36616	66321
249	36774	66193
250	36929	66060
251	37077	65914
252	37224	65767
253	37366	65611
254	37506	65452
255	37644	65289
256	37807	65169
257	37957	65027
258	38104	64881
259	38274	64772
260	38416	64615
261	38565	64472
262	38716	64331
263	38863	64183
264	39004	64026
265	39154	63883
266	39303	63739
267	39430	63559
268	39583	63421
269	39733	63279
270	39868	63112
271	40024	62979
272	40163	62820
273	40341	62721
274	40497	62586
275	40643	62437
276	40787	62285
277	40935	62139
278	41098	62015
279	41235	61853
280	41386	61711
281	41515	61536
282	41635	61349
283	41796	61222
284	41951	61086
285	42093	60932
286	42242	60788
287	42410	60671
288	42582	60558
289	42738	60423
290	42886	60277
291	43046	60146
292	43207	60018
293	43364	59883
294	43516	59742
295	43680	59617
296	43824	59465
297	43978	59326
298	44117	59167
299	44267	59023
300	44417	58879
301	44565	58732
302	44733	58611
303	44883	58466
304	45031	58319
305	45173	58164
306	45321	58017
307	45480	57884
308	45634	57745
309	45780	57595
310	45933	57453
311	46080	57305
312	46227	57156
313	46364	56995
314	46510	56845
315	46658	56699
316	46819	56567
317	46976	56430
318	47136	56297
319	47273	56137
320	47426	55995
321	47564	55836
322	47718	55695
323	47864	55546
324	48013	55400
325	48167	55259
326	48303	55098
327	48444	54942
328	48601	54805
329	48750	54659
330	48900	54514
331	49048	54367
332	49212	54236
333	49379	54110
334	49541	53978
335	49697	53839
336	49862	53709
337	50013	53564
338	50164	53419
339	50303	53262
340	50453	53116
341	50611	52979
342	50764	52836
343	50908	52684
344	51047	52527
345	51225	52409
346	51376	52265
347	51516	52108
348	51659	51955
349	51816	51816
350	51960	51664
351	52113	51521
352	52277	51389
353	52421	51236
354	52578	51097
355	52732	50955
356	52878	50804
357	53025	50655
358	53158	50493
359	53336	50373
360	53518	50256
361	53674	50116
362	53831	49976
363	54001	49847
364	54162	49711
365	54319	49570
366	54481	49433
367	54631	49286
368	54767	49127
369	54908	48972
370	55057	48824
371	55217	48686
372	55369	48541
373	55538	48410
374	55690	48265
375	55853	48129
376	56007	47985
377	56160	47840
378	56293	47678
379	56448	47535
380	56572	47366
381	56726	47222
382	56886	47083
383	57043	46942
384	57215	46813
385	57386	46682
386	57578	46568
387	57754	46442
388	57912	46299
389	58113	46192
390	58267	46047
391	58417	45899
392	58538	45728
393	58709	45596
394	58876	45461
395	59032	45318
396	59175	45163
397	59307	45002
398	59453	44850
399	59619	44714
400	59765	44563
401	59932	44427
402	60086	44281
403	60227	44126
404	60386	43985
405	60541	43840
406	60708	43704
407	60865	43560
408	61033	43424
409	61206	43292
410	61355	43142
411	61516	43002
412	61672	42857
413	61825	42710
414	61998	42577
415	62160	42436
416	62324	42296
417	62482	42153
418	62632	42004
419	62787	41858
420	62925	41701
421	63087	41560
422	63229	41405
423	63376	41254
424	63546	41118
425	63700	40971
426	63869	40834
427	64012	40680
428	64165	40533
429	64338	40398
430	64495	40253
431	64647	40105
432	64794	39953
433	64939	39801
434	65094	39655
435	65252	39510
436	65409	39365
437	65558	39215
438	65697	39059
439	65830	38900
440	65981	38751
441	66138	38605
442	66287	38455
443	66458	38318
444	66633	38182
445	66784	38034
446	66931	37882
447	67115	37752
448	67254	37596
449	67418	37454
450	67565	37303
451	67703	37147
452	67848	36994
453	67995	36843
454	68140	36690
455	68299	36546
456	68459	36402
457	68637	36267
458	68789	36118
459	68932	35964
460	69140	35845
461	69290	35695
462	69439	35544
463	69619	35409
464	69781	35265
465	69929	35114
466	70085	34967
467	70250	34825
468	70401	34675
469	70548	34523
470	70693	34370
471	70874	34236
472	71034	34090
473	71191	33943
474	71388	33815
475	71545	33668
476	71695	33518
477	71851	33370
478	71994	33216
479	72134	33061
480	72308	32922
481	72462	32773
482	72611	32622
483	72766	32474
484	72916	32324
485	73067	32173
486	73209	32019
487	73365	31871
488	73516	31721
489	73664	31570
