feature,gain,split,gain_share,fold,group,status
static_guc,1648698.1909332275,2594,0.0863087092887767,F1,static,katkili
static_log_guc,263685.4708633423,379,0.013803831879949047,F1,static,katkili
static_guc_bucket,331832.7859725952,532,0.017371317330543187,F1,static,katkili
static_il,48871.58932876587,133,0.0025584087003027263,F1,static,dusuk_katki
static_bolge,164936.7872467041,320,0.008634376685670261,F1,static,katkili
static_ilce_key,3746264.4521102905,5443,0.19611548753689417,F1,static,katkili
static_is_first_day,14882.621215820312,68,0.0007790994343507702,F1,static,dusuk_katki
static_has_bad_rows,9352.409633636475,29,0.000489595008145294,F1,static,dusuk_katki
cal_ay,178303.30644226074,220,0.009334108768714,F1,cal,katkili
cal_dow,12036.666816711426,71,0.0006301148280519257,F1,cal,dusuk_katki
cal_is_weekend,3036.0230674743652,16,0.00015893462718991817,F1,cal,dusuk_katki
cal_doy_sin,556105.1182098389,976,0.02911188672707026,F1,cal,katkili
cal_doy_cos,337975.9155883789,708,0.01769290777750779,F1,cal,katkili
cal_hafta,97879.05895233154,223,0.005123930681208563,F1,cal,katkili
cal_is_holiday,157.0465965270996,2,8.221328269170283e-06,F1,cal,dusuk_katki
cal_holiday_name,2216.8032035827637,18,0.00011604878582425912,F1,cal,dusuk_katki
cal_days_to_holiday,1620.2470016479492,12,8.481930059138916e-05,F1,cal,dusuk_katki
cal_days_since_holiday,5703.327014923096,27,0.0002985669518028604,F1,cal,dusuk_katki
cal_is_bridge_day,0.0,0,0.0,F1,cal,kullanilmadi
cal_is_ramadan,0.0,0,0.0,F1,cal,kullanilmadi
cal_horizon_days,237777.12551307678,673,0.012447540073912937,F1,cal,katkili
lvl_history_days,582321.1040916443,1201,0.030484283395323206,F1,lvl,katkili
lvl_mean_log_28d,362386.1314792633,752,0.01897077308881142,F1,lvl,katkili
lvl_mean_log_56d,134239.3314704895,322,0.007027376810820705,F1,lvl,katkili
lvl_mean_log_90d,98603.3211517334,233,0.005161845525757305,F1,lvl,katkili
lvl_std_log_90d,704658.2569580078,1035,0.036888585783732414,F1,lvl,katkili
lvl_trend_slope_90d,634598.198009491,782,0.03322096893681916,F1,lvl,katkili
lvl_lf_median_90d,252379.10442733765,540,0.013211947992889557,F1,lvl,katkili
lvl_zero_streak_days,607137.5669250488,331,0.031783415576120744,F1,lvl,katkili
lvl_zero_ratio_30d,83864.8766670227,118,0.0043902936872248464,F1,lvl,dusuk_katki
lvl_zero_ratio_90d,79191.17805480957,120,0.004145627381988875,F1,lvl,dusuk_katki
lvl_days_since_last_nonzero,72547.36256027222,187,0.0037978262239359776,F1,lvl,dusuk_katki
lvl_is_dead_flag,3095.5241775512695,9,0.0001620494871686752,F1,lvl,dusuk_katki
lvl_mean_log_full,153658.74872207642,259,0.008043975753757588,F1,lvl,katkili
lvl_std_log_full,461156.408164978,875,0.024141358671861072,F1,lvl,katkili
lvl_zero_ratio_full,240874.1879310608,248,0.012609670087370205,F1,lvl,katkili
lvl_lf_median_full,995571.7404708862,840,0.052117793539753564,F1,lvl,katkili
lvl_mean_log_364d,35441.92416763306,60,0.0018553709505119472,F1,lvl,dusuk_katki
lvl_full_over_90d,155386.77444839478,350,0.00813443722868158,F1,lvl,katkili
lvl_full_over_28d,1367406.9961166382,933,0.0715832246049029,F1,lvl,katkili
lvl_median_log_full,419258.3348464966,533,0.0219480108234245,F1,lvl,katkili
lvl_lf_median_364d,231659.76593780518,181,0.012127298678549862,F1,lvl,katkili
grp_lf_med_ilce_ay,0.0,0,0.0,F1,grp,kullanilmadi
grp_seasonal_ilce_ay,0.0,0,0.0,F1,grp,kullanilmadi
grp_lf_med_il_bucket_ay,0.0,0,0.0,F1,grp,kullanilmadi
grp_dow_ratio_ilce,31794.231414794922,147,0.001664415653107709,F1,grp,dusuk_katki
grp_n_transformers,863759.5968399048,1827,0.04521747906865119,F1,grp,katkili
grp_zero_rate_ilce_ay,0.0,0,0.0,F1,grp,kullanilmadi
grp_zero_rate_bucket,606247.8205757141,1611,0.031736837700662525,F1,grp,katkili
grp_lf_nz_med_ilce_ay_hi,0.0,0,0.0,F1,grp,kullanilmadi
grp_lf_nz_med_il_bucket_ay,0.0,0,0.0,F1,grp,kullanilmadi
grp_zero_rate_ilce_ay_hi,0.0,0,0.0,F1,grp,kullanilmadi
grp_lf_nz_p25_ilce_ay,0.0,0,0.0,F1,grp,kullanilmadi
grp_lf_nz_p75_ilce_ay,0.0,0,0.0,F1,grp,kullanilmadi
seas_lag364_log1p,0.0,0,0.0,F1,seas,kullanilmadi
seas_lag364_available,0.0,0,0.0,F1,seas,kullanilmadi
seas_lag364_ratio_own,0.0,0,0.0,F1,seas,kullanilmadi
seas_lag364_drift_adj,0.0,0,0.0,F1,seas,kullanilmadi
wx_cdd,283056.6480064392,88,0.014817905471962019,F1,wx,katkili
wx_cdd2,53222.22843551636,22,0.0027861629660318374,F1,wx,dusuk_katki
wx_cdd3,3922.739143371582,6,0.00020535386901184195,F1,wx,dusuk_katki
wx_hdd,34600.02236557007,72,0.0018112977185016535,F1,wx,dusuk_katki
wx_t_mean,17427.479190826416,36,0.0009123217599127944,F1,wx,dusuk_katki
wx_t_max,35188.4309387207,61,0.0018421006785354337,F1,wx,dusuk_katki
wx_t_range,25407.947147369385,92,0.0013300961546671103,F1,wx,dusuk_katki
wx_apparent_max,396358.0358772278,82,0.02074918907591841,F1,wx,katkili
wx_humidity,7372.432987213135,38,0.00038594400051121086,F1,wx,dusuk_katki
wx_precip,3059.952320098877,19,0.00016018731426122357,F1,wx,dusuk_katki
wx_et0,12018.791404724121,57,0.0006291790571842715,F1,wx,dusuk_katki
wx_soil_moist,71546.89554977417,242,0.0037454521649135613,F1,wx,dusuk_katki
wx_radiation,38405.778705596924,115,0.0020105275832407966,F1,wx,dusuk_katki
wx_cdd_ma7,813500.1579208374,206,0.04258641698188597,F1,wx,katkili
wx_et0_sum7,277705.8593902588,281,0.014537793768267965,F1,wx,katkili
wx_precip_30d,187971.43561935425,463,0.009840231572208905,F1,wx,katkili
wx_t_anom7,3000.356502532959,28,0.00015706749638223853,F1,wx,dusuk_katki
static_guc,96304.98956680298,280,0.12628132957260718,F2,static,katkili
static_log_guc,34909.5963973999,112,0.04577572011311837,F2,static,katkili
static_guc_bucket,16601.58692550659,33,0.02176907426498339,F2,static,katkili
static_il,4061.221736907959,24,0.005325336547284103,F2,static,katkili
static_bolge,13249.167392730713,48,0.017373165000173628,F2,static,katkili
static_ilce_key,237339.6478729248,476,0.311215093096472,F2,static,katkili
static_is_first_day,0.0,0,0.0,F2,static,kullanilmadi
static_has_bad_rows,0.0,0,0.0,F2,static,kullanilmadi
cal_ay,1663.7097625732422,8,0.0021815638191304792,F2,cal,dusuk_katki
cal_dow,2376.402400970459,16,0.0031160924905756964,F2,cal,dusuk_katki
cal_is_weekend,927.322998046875,4,0.0012159658774002094,F2,cal,dusuk_katki
cal_doy_sin,5100.594928741455,42,0.006688229884142969,F2,cal,katkili
cal_doy_cos,1521.6699981689453,9,0.0019953120954987317,F2,cal,dusuk_katki
cal_hafta,0.0,0,0.0,F2,cal,kullanilmadi
cal_is_holiday,0.0,0,0.0,F2,cal,kullanilmadi
cal_holiday_name,0.0,0,0.0,F2,cal,kullanilmadi
cal_days_to_holiday,0.0,0,0.0,F2,cal,kullanilmadi
cal_days_since_holiday,0.0,0,0.0,F2,cal,kullanilmadi
cal_is_bridge_day,0.0,0,0.0,F2,cal,kullanilmadi
cal_is_ramadan,207.14300537109375,1,0.0002716193028792392,F2,cal,dusuk_katki
cal_horizon_days,15719.652576446533,82,0.020612624919045794,F2,cal,katkili
lvl_history_days,279.9725036621094,3,0.00036711805032384355,F2,lvl,dusuk_katki
lvl_mean_log_28d,2489.57820892334,10,0.003264495928113375,F2,lvl,dusuk_katki
lvl_mean_log_56d,1318.2693786621094,5,0.001728600050954061,F2,lvl,dusuk_katki
lvl_mean_log_90d,991.2409973144531,2,0.0012997792910918406,F2,lvl,dusuk_katki
lvl_std_log_90d,7121.134788513184,42,0.009337692399991446,F2,lvl,katkili
lvl_trend_slope_90d,382.4399948120117,2,0.0005014800504505685,F2,lvl,dusuk_katki
lvl_lf_median_90d,13237.923698425293,29,0.017358421541163006,F2,lvl,katkili
lvl_zero_streak_days,5538.93017578125,1,0.007263003403601438,F2,lvl,katkili
lvl_zero_ratio_30d,329.26300048828125,1,0.00043175093697387214,F2,lvl,dusuk_katki
lvl_zero_ratio_90d,4656.958953857422,5,0.006106505707580605,F2,lvl,katkili
lvl_days_since_last_nonzero,0.0,0,0.0,F2,lvl,kullanilmadi
lvl_is_dead_flag,0.0,0,0.0,F2,lvl,kullanilmadi
lvl_mean_log_full,575.8350219726562,1,0.0007550721153314433,F2,lvl,dusuk_katki
lvl_std_log_full,5082.799392700195,21,0.006664895226594528,F2,lvl,katkili
lvl_zero_ratio_full,2383.18994140625,1,0.003124992752489592,F2,lvl,dusuk_katki
lvl_lf_median_full,541.6234893798828,3,0.0007102117416170035,F2,lvl,dusuk_katki
lvl_mean_log_364d,51.49580001831055,1,6.75246227944036e-05,F2,lvl,dusuk_katki
lvl_full_over_90d,0.0,0,0.0,F2,lvl,kullanilmadi
lvl_full_over_28d,46435.57691192627,16,0.06088933105424949,F2,lvl,katkili
lvl_median_log_full,71126.94989776611,25,0.09326625590155593,F2,lvl,katkili
lvl_lf_median_364d,316.80320739746094,2,0.0004154128506007155,F2,lvl,dusuk_katki
grp_lf_med_ilce_ay,8303.572971343994,29,0.010888181803883807,F2,grp,katkili
grp_seasonal_ilce_ay,1309.8696975708008,16,0.0017175858459687568,F2,grp,dusuk_katki
grp_lf_med_il_bucket_ay,1351.6551971435547,14,0.0017723776949335782,F2,grp,dusuk_katki
grp_dow_ratio_ilce,1975.2764129638672,11,0.002590110157578703,F2,grp,dusuk_katki
grp_n_transformers,57843.91217422485,286,0.07584867793350744,F2,grp,katkili
grp_zero_rate_ilce_ay,555.3776016235352,5,0.0007282470229563414,F2,grp,dusuk_katki
grp_zero_rate_bucket,63630.70357513428,267,0.08343669300264642,F2,grp,katkili
grp_lf_nz_med_ilce_ay_hi,1737.101188659668,15,0.00227779940263568,F2,grp,dusuk_katki
grp_lf_nz_med_il_bucket_ay,1116.9462051391602,10,0.0014646120879148296,F2,grp,dusuk_katki
grp_zero_rate_ilce_ay_hi,1506.5951080322266,6,0.0019755449247821476,F2,grp,dusuk_katki
grp_lf_nz_p25_ilce_ay,1937.1927185058594,12,0.0025401723548456666,F2,grp,dusuk_katki
grp_lf_nz_p75_ilce_ay,876.4273986816406,7,0.0011492282765121653,F2,grp,dusuk_katki
seas_lag364_log1p,0.0,0,0.0,F2,seas,kullanilmadi
seas_lag364_available,0.0,0,0.0,F2,seas,kullanilmadi
seas_lag364_ratio_own,0.0,0,0.0,F2,seas,kullanilmadi
seas_lag364_drift_adj,0.0,0,0.0,F2,seas,kullanilmadi
wx_cdd,0.0,0,0.0,F2,wx,kullanilmadi
wx_cdd2,0.0,0,0.0,F2,wx,kullanilmadi
wx_cdd3,0.0,0,0.0,F2,wx,kullanilmadi
wx_hdd,6213.527889251709,24,0.008147579546196812,F2,wx,katkili
